"id","mood"
"xa0000001002","Fiery"
"xa0000001445","Heavy"
"xa0000001020","Hostile"
"xa0000000718","Hyper"
"xa0000000721","Intense"
"xa0000001042","Manic"
"xa0000001043","Martial"
"xa0000001059","Outraged"
"xa0000000776","Thrilling"
"xa0000000981","Earthy"
"xa0000001031","Knotty"
"xa0000001057","Organic"
"xa0000000745","Pastoral"
"xa0000001065","Plain"
"xa0000001082","Rustic"
"xa0000001138","Warm"
"xa0000000710","Erotic"
"xa0000000995","Exotic"
"xa0000001018","Hedonistic"
"xa0000001062","Passionate"
"xa0000000758","Romantic"
"xa0000001443","Seductive"
"xa0000000764","Sensual"
"xa0000001091","Sexual"
"xa0000000770","Sexy"
"xa0000001094","Sleazy"
"xa0000001104","Spicy"
"xa0000000733","Yearning"
"xa0000000715","Agreeable"
"xa0000000934","Amiable/Good-Natured"
"xa0000001436","Anthemic"
"xa0000000940","Athletic"
"xa0000000944","Benevolent"
"ma0000005462","Bouncy"
"xa0000000703","Celebratory"
"xa0000000984","Ecstatic"
"xa0000000990","Energetic"
"xa0000001030","Kinetic"
"xa0000000726","Lively"
"xa0000000729","Marching"
"xa0000000744","Optimistic"
"xa0000001063","Patriotic"
"xa0000000746","Positive"
"xa0000001080","Rollicking"
"xa0000000759","Rousing"
"xa0000000771","Striding"
"xa0000001446","Sunny"
"xa0000001448","Tight"
"xa0000001132","Uplifting"
"xa0000001440","Confessional"
"xa0000000972","Delicate"
"xa0000000991","Enigmatic"
"xa0000001008","Gentle"
"xa0000000722","Intimate"
"xa0000001027","Introspective"
"xa0000000742","Nostalgic"
"xa0000001064","Philosophical"
"xa0000001439","Poetic"
"xa0000001076","Refined"
"xa0000000753","Reflective"
"xa0000001077","Reserved"
"xa0000000756","Restrained"
"xa0000001088","Searching"
"xa0000001089","Self-Conscious"
"xa0000000765","Sentimental"
"xa0000001098","Somber"
"xa0000001119","Tender"
"xa0000001121","Thoughtful"
"xa0000000946","Bittersweet"
"xa0000000989","Elegiac"
"xa0000000727","Lonely"
"xa0000000734","Melancholy"
"xa0000001066","Plaintive"
"xa0000001068","Poignant"
"xa0000000754","Regretful"
"xa0000000761","Sad"
"xa0000001444","Vulnerable"
"xa0000001139","Weary"
"xa0000001142","Wistful"
"xa0000000943","Autumnal"
"xa0000001110","Springlike"
"xa0000001116","Summery"
"xa0000001141","Wintry"
"xa0000000933","Ambitious"
"xa0000000965","Concise"
"xa0000000967","Cosmopolitan"
"xa0000000977","Dignified/Noble"
"xa0000000987","Elaborate"
"xa0000000988","Elegant"
"xa0000000992","Epic"
"xa0000001441","Exploratory"
"xa0000001011","Graceful"
"xa0000001036","Literate"
"xa0000001037","Lush"
"xa0000001038","Lyrical"
"xa0000000728","Majestic"
"xa0000001048","Monumental"
"xa0000001052","Narrative"
"xa0000001056","Opulent"
"xa0000001058","Ornate"
"xa0000001096","Smooth"
"xa0000001100","Sophisticated"
"xa0000001111","Stately"
"xa0000001113","Stylish"
"xa0000000975","Devotional"
"xa0000001022","Hymn-like"
"xa0000000732","Meditative"
"xa0000001047","Monastic"
"xa0000000757","Reverent"
"xa0000000760","Sacred"
"xa0000001105","Spiritual"
"xa0000000699","Boisterous"
"xa0000000948","Bombastic"
"xa0000001003","Flashy"
"xa0000001012","Greasy"
"xa0000001014","Gritty"
"xa0000001071","Rambunctious"
"xa0000001073","Raucous"
"xa0000001081","Rowdy"
"xa0000001112","Street-Smart"
"xa0000000772","Strong"
"xa0000001118","Swaggering"
"xa0000001122","Tough"
"xa0000001125","Trashy"
"xa0000001137","Vulgar"
"xa0000000952","Bright"
"xa0000000960","Child-like"
"xa0000000980","Earnest"
"xa0000001025","Innocent"
"xa0000001035","Light"
"xa0000001127","Melodic"
"xa0000001069","Precious"
"xa0000000751","Pure"
"xa0000001074","Reassuring/Consoling"
"xa0000001079","Rhapsodic"
"xa0000001102","Sparkling"
"xa0000001115","Sugary"
"xa0000000773","Sweet"
"xa0000000935","Angst-Ridden"
"xa0000000696","Anguished/Distraught"
"xa0000000974","Desperate"
"xa0000000741","Nervous/Jittery"
"xa0000001061","Paranoid"
"xa0000000697","Tense/Anxious"
"xa0000001128","Turbulent"
"xa0000001131","Unsettling"
"xa0000001133","Urgent"
